Time,Emotion,Confidence
13:19:32,neutral,58.94
13:19:32,neutral,99.79
13:19:32,neutral,99.4
13:19:33,neutral,99.89
13:19:33,neutral,99.41
13:19:33,neutral,99.35
13:19:33,neutral,99.01
13:19:33,neutral,99.36
13:19:33,neutral,99.12
13:19:33,fear,74.84
13:19:33,fear,59.54
13:19:33,fear,47.59
13:19:33,neutral,90.54
13:19:34,neutral,99.48
13:19:34,neutral,99.61
13:19:34,neutral,99.79
13:19:34,neutral,99.71
13:19:34,neutral,99.97
13:19:34,neutral,99.79
13:19:34,neutral,99.99
13:19:34,neutral,99.99
13:19:34,neutral,99.12
13:19:35,neutral,99.87
13:19:35,neutral,99.8
13:19:35,neutral,99.94
13:19:35,neutral,98.85
13:19:35,neutral,83.5
13:19:35,neutral,84.27
13:19:35,neutral,96.64
13:19:35,neutral,95.89
13:19:35,neutral,91.86
13:19:35,neutral,88.95
13:19:36,neutral,88.08
13:19:36,neutral,98.33
13:19:36,neutral,53.15
13:19:36,neutral,76.01
13:19:36,neutral,85.76
13:19:36,happy,94.64
13:19:36,happy,97.9
13:19:36,happy,99.1
13:19:36,happy,98.62
13:19:37,happy,98.68
13:19:37,happy,99.45
13:19:37,happy,98.99
13:19:37,happy,99.9
13:19:37,happy,99.87
13:19:37,happy,99.9
13:19:37,happy,99.36
13:19:37,happy,99.63
13:19:37,happy,99.86
13:19:37,happy,99.29
13:19:38,happy,99.86
13:19:38,happy,99.68
13:19:38,happy,99.44
13:19:38,happy,99.26
13:19:38,happy,98.81
13:19:38,happy,97.88
13:19:38,happy,97.28
13:19:38,happy,98.77
13:19:38,happy,99.54
13:19:38,happy,98.9
13:19:39,happy,99.31
13:19:39,happy,99.02
13:19:39,happy,96.21
13:19:39,happy,97.35
13:19:39,happy,87.81
13:19:39,happy,97.11
13:19:39,happy,75.84
13:19:39,happy,91.78
13:19:39,happy,95.96
13:19:39,happy,97.35
13:19:40,happy,89.93
13:19:40,happy,74.02
13:19:40,neutral,93.93
13:19:40,neutral,99.6
13:19:40,neutral,97.72
13:19:40,neutral,97.45
13:19:40,neutral,98.9
13:19:40,neutral,99.41
13:19:40,neutral,99.48
13:19:40,neutral,98.76
13:19:41,neutral,98.83
13:19:41,neutral,99.27
13:19:41,neutral,99.15
13:19:41,neutral,99.48
13:19:41,neutral,98.59
13:19:41,neutral,99.77
13:19:41,neutral,98.92
13:19:41,neutral,98.76
13:19:41,neutral,98.83
13:19:42,neutral,97.84
13:19:42,neutral,97.45
13:19:42,neutral,98.93
13:19:42,neutral,96.0
13:19:42,neutral,98.77
13:19:42,neutral,96.81
13:19:42,neutral,98.77
13:19:42,neutral,99.78
13:19:42,neutral,99.42
13:19:43,neutral,99.78
13:19:43,neutral,99.15
13:19:43,neutral,97.23
13:19:43,neutral,99.24
13:19:43,neutral,98.61
13:19:43,neutral,99.27
13:19:43,neutral,99.66
13:19:43,neutral,98.49
13:19:43,neutral,99.42
13:19:44,neutral,98.38
13:19:44,neutral,99.31
13:19:44,neutral,98.63
13:19:44,neutral,98.68
13:19:44,neutral,98.94
13:19:44,neutral,99.56
13:19:44,neutral,98.97
13:19:44,neutral,98.74
13:19:44,neutral,99.72
13:19:44,neutral,99.59
13:19:45,neutral,99.37
13:19:45,neutral,99.49
13:19:45,neutral,98.73
13:19:45,neutral,99.6
13:19:45,neutral,99.54
13:19:45,neutral,99.6
13:19:45,neutral,99.46
13:19:45,neutral,99.64
13:19:45,neutral,99.61
13:19:45,neutral,99.65
13:19:46,neutral,98.99
13:19:46,neutral,99.36
13:19:46,neutral,96.39
13:19:46,neutral,99.07
13:19:46,neutral,95.21
